record_type,model,model_label,seed,episodes_seen,environment_interactions,safe_weighted_coverage,curve_source,q25,median,q75
seed,full,PPO+Pointer,43,2448,40562,0.98046875,training_batch,,,
seed,full,PPO+Pointer,43,2464,40834,1,training_batch,,,
seed,full,PPO+Pointer,43,2480,41106,1,training_batch,,,
seed,full,PPO+Pointer,43,2496,41371,0.98046875,training_batch,,,
seed,full,PPO+Pointer,43,2512,41643,1,training_batch,,,
seed,full,PPO+Pointer,43,2528,41915,1,training_batch,,,
seed,full,PPO+Pointer,43,2544,42187,1,training_batch,,,
seed,full,PPO+Pointer,43,2560,42452,0.98046875,training_batch,,,
seed,full,PPO+Pointer,43,2576,42724,1,training_batch,,,
seed,full,PPO+Pointer,43,2592,42996,1,training_batch,,,
seed,full,PPO+Pointer,43,2608,43268,1,training_batch,,,
seed,full,PPO+Pointer,43,2624,43540,1,training_batch,,,
seed,full,PPO+Pointer,43,2640,43812,1,training_batch,,,
seed,full,PPO+Pointer,43,2656,44084,1,training_batch,,,
seed,full,PPO+Pointer,43,2672,44356,1,training_batch,,,
seed,full,PPO+Pointer,43,2688,44628,1,training_batch,,,
seed,full,PPO+Pointer,43,2704,44900,1,training_batch,,,
seed,full,PPO+Pointer,43,2720,45127,0.841796875,training_batch,,,
seed,full,PPO+Pointer,43,2736,45399,1,training_batch,,,
seed,full,PPO+Pointer,43,2752,45671,1,training_batch,,,
seed,full,PPO+Pointer,43,2768,45943,1,training_batch,,,
seed,full,PPO+Pointer,43,2784,46215,1,training_batch,,,
seed,full,PPO+Pointer,43,2800,46487,1,training_batch,,,
seed,full,PPO+Pointer,43,2816,46759,1,training_batch,,,
seed,full,PPO+Pointer,43,2832,47031,1,training_batch,,,
seed,full,PPO+Pointer,43,2848,47293,0.970703125,training_batch,,,
seed,full,PPO+Pointer,43,2864,47565,1,training_batch,,,
seed,full,PPO+Pointer,43,2880,47837,1,training_batch,,,
seed,full,PPO+Pointer,43,2896,48109,1,training_batch,,,
seed,full,PPO+Pointer,43,2912,48381,1,training_batch,,,
seed,full,PPO+Pointer,43,2928,48653,1,training_batch,,,
seed,full,PPO+Pointer,43,2944,48918,0.966796875,training_batch,,,
seed,full,PPO+Pointer,43,2960,49190,1,training_batch,,,
seed,full,PPO+Pointer,43,2976,49462,1,training_batch,,,
seed,full,PPO+Pointer,43,2992,49734,1,training_batch,,,
seed,full,PPO+Pointer,43,3000,49870,1,training_batch,,,
seed,full,PPO+Pointer,44,16,131,0.443359375,training_batch,,,
seed,full,PPO+Pointer,44,32,299,0.58984375,training_batch,,,
seed,full,PPO+Pointer,44,48,485,0.6875,training_batch,,,
seed,full,PPO+Pointer,44,64,697,0.779296875,training_batch,,,
seed,full,PPO+Pointer,44,80,905,0.763671875,training_batch,,,
seed,full,PPO+Pointer,44,96,1117,0.794921875,training_batch,,,
seed,full,PPO+Pointer,44,112,1334,0.794921875,training_batch,,,
seed,full,PPO+Pointer,44,128,1527,0.7265625,training_batch,,,
seed,full,PPO+Pointer,44,144,1740,0.81640625,training_batch,,,
seed,full,PPO+Pointer,44,160,1981,0.923828125,training_batch,,,
seed,full,PPO+Pointer,44,176,2227,0.939453125,training_batch,,,
seed,full,PPO+Pointer,44,192,2471,0.927734375,training_batch,,,
seed,full,PPO+Pointer,44,208,2730,0.958984375,training_batch,,,
seed,full,PPO+Pointer,44,224,2983,0.947265625,training_batch,,,
seed,full,PPO+Pointer,44,240,3249,0.9765625,training_batch,,,
seed,full,PPO+Pointer,44,256,3520,0.99609375,training_batch,,,
seed,full,PPO+Pointer,44,272,3791,0.998046875,training_batch,,,
seed,full,PPO+Pointer,44,288,4061,0.98828125,training_batch,,,
seed,full,PPO+Pointer,44,304,4333,1,training_batch,,,
seed,full,PPO+Pointer,44,320,4605,1,training_batch,,,
seed,full,PPO+Pointer,44,336,4877,1,training_batch,,,
seed,full,PPO+Pointer,44,352,5149,1,training_batch,,,
seed,full,PPO+Pointer,44,368,5421,1,training_batch,,,
seed,full,PPO+Pointer,44,384,5693,1,training_batch,,,
seed,full,PPO+Pointer,44,400,5965,1,training_batch,,,
seed,full,PPO+Pointer,44,416,6237,1,training_batch,,,
seed,full,PPO+Pointer,44,432,6509,1,training_batch,,,
seed,full,PPO+Pointer,44,448,6781,1,training_batch,,,
seed,full,PPO+Pointer,44,464,7053,1,training_batch,,,
