model,training_seed,environment_interactions,mean_weighted_coverage
full,46,3403,0.396875
full,46,3547,0.381377551
full,46,3660,0.4296875
full,46,3742,0.415
full,46,3915,0.487244898
full,46,4047,0.517578125
full,46,4186,0.4296875
full,46,4339,0.4285714286
full,46,4456,0.44921875
full,46,4611,0.4859375
full,46,4784,0.4655612245
full,46,4893,0.412109375
full,46,5057,0.515625
full,46,5228,0.450255102
full,46,5346,0.439453125
full,46,5477,0.4109375
full,46,5626,0.387755102
full,46,5759,0.52734375
full,46,5901,0.440625
full,46,6070,0.450255102
full,46,6180,0.388671875
full,46,6306,0.3890625
full,46,6452,0.3545918367
full,46,6558,0.41015625
full,46,6687,0.4421875
full,46,6857,0.4732142857
full,46,6976,0.478515625
full,46,7122,0.4765625
full,46,7272,0.4298469388
full,46,7384,0.44921875
full,46,7515,0.396875
full,46,7667,0.4094387755
full,46,7770,0.404296875
full,46,7909,0.45
full,46,8039,0.3826530612
full,46,8068,0.46875
full,46,8227,0.51875
full,46,8376,0.4158163265
full,46,8491,0.451171875
full,46,8634,0.46875
full,46,8817,0.5102040816
full,46,8946,0.494140625
full,46,9066,0.3828125
full,46,9242,0.4783163265
full,46,9383,0.53515625
full,46,9534,0.4765625
full,46,9700,0.4617346939
full,46,9831,0.4921875
full,46,9977,0.4765625
full,46,10144,0.4655612245
full,46,10281,0.5234375
full,46,10437,0.4875
full,46,10608,0.4528061224
full,46,10732,0.462890625
full,46,10883,0.4625
full,46,11034,0.3890306122
full,46,11155,0.462890625
full,46,11289,0.40625
full,46,11485,0.5229591837
full,46,11606,0.46484375
full,46,11759,0.4875
full,46,11923,0.450255102
full,46,12039,0.44921875
full,46,12208,0.5078125
full,46,12382,0.4566326531
full,46,12524,0.54296875
full,46,12669,0.4546875
full,46,12717,0.4948979592
full,46,12841,0.46875
full,46,12994,0.459375
full,46,13163,0.443877551
full,46,13283,0.478515625
full,46,13432,0.4828125
full,46,13602,0.4591836735
full,46,13736,0.52734375
full,46,13887,0.4828125
full,46,14037,0.4132653061
full,46,14160,0.494140625
full,46,14290,0.4453125
full,46,14459,0.4693877551
full,46,14580,0.458984375
full,46,14737,0.50625
full,46,14913,0.5
full,46,15033,0.478515625
full,46,15167,0.4375
full,46,15324,0.4464285714
full,46,15450,0.521484375
full,46,15581,0.4421875
full,46,15719,0.3864795918
full,46,15828,0.390625
full,46,15990,0.54375
full,46,16145,0.4272959184
full,46,16273,0.521484375
full,46,16418,0.4828125
full,46,16564,0.3839285714
full,46,16686,0.505859375
full,46,16829,0.45625
full,46,16987,0.4362244898
full,46,17098,0.42578125
full,46,17145,0.5875
full,46,17312,0.4464285714
full,46,17459,0.548828125
full,46,17602,0.446875
full,46,17780,0.4744897959
full,46,17914,0.52734375
full,46,18063,0.4671875
full,46,18245,0.4744897959
full,46,18373,0.5
full,46,18512,0.4328125
full,46,18675,0.431122449
full,46,18795,0.435546875
full,46,18947,0.4578125
full,46,19103,0.3966836735
full,46,19232,0.44921875
full,46,19406,0.534375
full,46,19592,0.4821428571
full,46,19719,0.486328125
full,46,19868,0.490625
full,46,20036,0.450255102
full,46,20180,0.53515625
full,46,20336,0.5265625
full,46,20509,0.4579081633
full,46,20636,0.515625
full,46,20778,0.4421875
full,46,20942,0.4413265306
full,46,21073,0.48828125
full,46,21218,0.44375
full,46,21363,0.3954081633
full,46,21478,0.44921875
full,46,21603,0.3890625
full,46,21767,0.4451530612
full,46,21800,0.5
full,46,21929,0.421875
full,46,22090,0.4336734694
full,46,22197,0.42578125
full,46,22364,0.5203125
full,46,22521,0.4132653061
full,46,22655,0.501953125
full,46,22809,0.4890625
full,46,22987,0.487244898
full,46,23115,0.474609375
full,46,23270,0.4984375
full,46,23448,0.4783163265
full,46,23577,0.494140625
full,46,23713,0.421875
full,46,23872,0.4336734694
full,46,24005,0.533203125
full,46,24147,0.459375
full,46,24302,0.431122449
full,46,24435,0.5234375
full,46,24573,0.446875
full,46,24729,0.424744898
full,46,24858,0.505859375
full,46,25016,0.5171875
full,46,25186,0.4846938776
full,46,25288,0.373046875
full,46,25431,0.4765625
full,46,25591,0.4579081633
full,46,25720,0.529296875
full,46,25874,0.4953125
full,46,26017,0.3826530612
full,46,26144,0.474609375
full,46,26297,0.4625
full,46,26342,0.5051020408
traditional_ppo,42,66,0.193359375
traditional_ppo,42,136,0.1703125
traditional_ppo,42,221,0.1862244898
traditional_ppo,42,292,0.208984375
traditional_ppo,42,372,0.1875
traditional_ppo,42,459,0.1887755102
traditional_ppo,42,533,0.24609375
traditional_ppo,42,610,0.184375
traditional_ppo,42,692,0.1823979592
traditional_ppo,42,765,0.234375
traditional_ppo,42,850,0.221875
traditional_ppo,42,938,0.2028061224
traditional_ppo,42,1008,0.224609375
traditional_ppo,42,1092,0.2203125
traditional_ppo,42,1189,0.2079081633
traditional_ppo,42,1237,0.240625
traditional_ppo,42,1322,0.234375
traditional_ppo,42,1420,0.2155612245
traditional_ppo,42,1506,0.296875
traditional_ppo,42,1592,0.21875
traditional_ppo,42,1679,0.1823979592
traditional_ppo,42,1776,0.318359375
traditional_ppo,42,1871,0.25
traditional_ppo,42,1974,0.2359693878
traditional_ppo,42,2056,0.28125
traditional_ppo,42,2149,0.2453125
traditional_ppo,42,2250,0.2193877551
traditional_ppo,42,2339,0.30859375
traditional_ppo,42,2442,0.2703125
traditional_ppo,42,2536,0.2346938776
traditional_ppo,42,2646,0.37890625
traditional_ppo,42,2705,0.27
traditional_ppo,42,2806,0.2334183673
traditional_ppo,42,2896,0.3046875
traditional_ppo,42,2998,0.2765625
