episodes_seen,mean_weighted_coverage,median,model,q25,q75,record_type,training_seed
2660.0,0.5062500000000001,,full,,,seed,43.0
2676.0,0.5012755102040817,,full,,,seed,43.0
2692.0,0.490234375,,full,,,seed,43.0
2708.0,0.546875,,full,,,seed,43.0
2724.0,0.475765306122449,,full,,,seed,43.0
2740.0,0.505859375,,full,,,seed,43.0
2756.0,0.4828125,,full,,,seed,43.0
2772.0,0.4375,,full,,,seed,43.0
2788.0,0.53515625,,full,,,seed,43.0
2804.0,0.534375,,full,,,seed,43.0
2820.0,0.4438775510204081,,full,,,seed,43.0
2836.0,0.447265625,,full,,,seed,43.0
2852.0,0.4499999999999999,,full,,,seed,43.0
2868.0,0.485969387755102,,full,,,seed,43.0
2884.0,0.494140625,,full,,,seed,43.0
2900.0,0.428125,,full,,,seed,43.0
2916.0,0.4566326530612244,,full,,,seed,43.0
2932.0,0.46875,,full,,,seed,43.0
2948.0,0.45625,,full,,,seed,43.0
2964.0,0.4413265306122448,,full,,,seed,43.0
2980.0,0.478515625,,full,,,seed,43.0
2996.0,0.5296874999999999,,full,,,seed,43.0
3000.0,0.4489795918367347,,full,,,seed,43.0
16.0,0.236328125,,full,,,seed,44.0
32.0,0.2249999999999999,,full,,,seed,44.0
48.0,0.2474489795918367,,full,,,seed,44.0
64.0,0.353515625,,full,,,seed,44.0
80.0,0.3,,full,,,seed,44.0
96.0,0.2755102040816326,,full,,,seed,44.0
112.0,0.314453125,,full,,,seed,44.0
128.0,0.3625,,full,,,seed,44.0
144.0,0.3826530612244898,,full,,,seed,44.0
160.0,0.45703125,,full,,,seed,44.0
176.0,0.4078125,,full,,,seed,44.0
192.0,0.3864795918367346,,full,,,seed,44.0
208.0,0.48046875,,full,,,seed,44.0
224.0,0.44375,,full,,,seed,44.0
240.0,0.3762755102040817,,full,,,seed,44.0
250.0,0.49375,,full,,,seed,44.0
266.0,0.390625,,full,,,seed,44.0
282.0,0.3775510204081632,,full,,,seed,44.0
298.0,0.5078125,,full,,,seed,44.0
314.0,0.4203125,,full,,,seed,44.0
330.0,0.4349489795918367,,full,,,seed,44.0
346.0,0.466796875,,full,,,seed,44.0
362.0,0.4125,,full,,,seed,44.0
