domain,model,map_id,safe_weighted_coverage,weighted_coverage,safe_rate,return_rate,planning_time_s
未见合成,priority_resource_greedy,synthetic_test__map_021,0.494005102,0.494005102,1,1,3.122791
未见合成,priority_resource_greedy,synthetic_test__map_022,0.466978458,0.466978458,1,1,2.814649989
未见合成,priority_resource_greedy,synthetic_test__map_023,0.508361678,0.508361678,1,1,3.521028711
未见合成,sa,synthetic_test__map_000,0.5459750567,0.5459750567,1,1,3.957330253
未见合成,sa,synthetic_test__map_001,0.5301445578,0.5301445578,1,1,3.675092451
未见合成,sa,synthetic_test__map_002,0.5668679138,0.5668679138,1,1,3.853907753
未见合成,sa,synthetic_test__map_003,0.5257001134,0.5257001134,1,1,3.888847827
未见合成,sa,synthetic_test__map_004,0.5503429705,0.5503429705,1,1,3.904198638
未见合成,sa,synthetic_test__map_005,0.5705442177,0.5705442177,1,1,3.856491744
未见合成,sa,synthetic_test__map_006,0.5634637188,0.5634637188,1,1,3.733528122
未见合成,sa,synthetic_test__map_007,0.5274688209,0.5274688209,1,1,3.821837716
未见合成,sa,synthetic_test__map_008,0.52638322,0.52638322,1,1,3.966603553
未见合成,sa,synthetic_test__map_009,0.5568877551,0.5568877551,1,1,3.850740851
未见合成,sa,synthetic_test__map_010,0.5330980726,0.5330980726,1,1,3.764570411
未见合成,sa,synthetic_test__map_011,0.5365617914,0.5365617914,1,1,3.961094491
未见合成,sa,synthetic_test__map_012,0.5165702948,0.5165702948,1,1,3.902672013
未见合成,sa,synthetic_test__map_013,0.5329591837,0.5329591837,1,1,3.746072793
未见合成,sa,synthetic_test__map_014,0.4970379819,0.4970379819,1,1,3.532876927
未见合成,sa,synthetic_test__map_015,0.4974943311,0.4974943311,1,1,3.735640807
未见合成,sa,synthetic_test__map_016,0.5456150794,0.5456150794,1,1,3.910855367
未见合成,sa,synthetic_test__map_017,0.5826842404,0.5826842404,1,1,3.932020256
未见合成,sa,synthetic_test__map_018,0.5576984127,0.5576984127,1,1,3.725591242
未见合成,sa,synthetic_test__map_019,0.5574121315,0.5574121315,1,1,3.888365076
未见合成,sa,synthetic_test__map_020,0.5632993197,0.5632993197,1,1,3.919192904
