aggregation,grid_id,is_first,model,rank,score_0_to_100,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5,weight_D6,weight_D7
arithmetic,27,0.0,traditional_ppo,3,65.45808918294661,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,27,0.0,a2c_pointer,2,68.26594749653637,0.2,0.1,0.15,0.15,0.15,0.2,0.05
arithmetic,27,0.0,a2c_pointer,2,71.32148384185373,0.2,0.1,0.15,0.15,0.15,0.2,0.05
geometric,28,1.0,full,1,74.39755894882055,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,1.0,full,1,77.88809945969047,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,traditional_ppo,3,55.09425185985539,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,28,0.0,a2c_pointer,2,73.05338818720386,0.2,0.1,0.2,0.05,0.05,0.2,0.2
arithmetic,28,0.0,a2c_pointer,2,76.14299020904231,0.2,0.1,0.2,0.05,0.05,0.2,0.2
geometric,29,1.0,full,1,72.03205426885609,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,1.0,full,1,75.59126635201497,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,traditional_ppo,3,53.4390219787208,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,29,0.0,a2c_pointer,2,70.93831809724172,0.2,0.1,0.2,0.05,0.1,0.15,0.2
arithmetic,29,0.0,a2c_pointer,2,74.08740066458995,0.2,0.1,0.2,0.05,0.1,0.15,0.2
geometric,30,1.0,full,1,72.23025185959592,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,1.0,full,1,75.84929131376664,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,traditional_ppo,3,58.26684561467956,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,30,0.0,a2c_pointer,2,71.17089998309116,0.2,0.1,0.2,0.05,0.1,0.2,0.15
arithmetic,30,0.0,a2c_pointer,2,74.38055649988847,0.2,0.1,0.2,0.05,0.1,0.2,0.15
geometric,31,1.0,full,1,69.74176190055877,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,1.0,full,1,73.29443324433946,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,traditional_ppo,3,51.783792097586215,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,31,0.0,a2c_pointer,2,68.88448433863205,0.2,0.1,0.2,0.05,0.15,0.1,0.2
arithmetic,31,0.0,a2c_pointer,2,72.03181112013758,0.2,0.1,0.2,0.05,0.15,0.1,0.2
geometric,32,1.0,full,1,69.93365770754284,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,1.0,full,1,73.55245820609115,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,traditional_ppo,3,56.61161573354497,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,32,0.0,a2c_pointer,2,69.11033242331999,0.2,0.1,0.2,0.05,0.15,0.15,0.15
arithmetic,32,0.0,a2c_pointer,2,72.32496695543611,0.2,0.1,0.2,0.05,0.15,0.15,0.15
geometric,33,1.0,full,1,70.12608151955195,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,1.0,full,1,73.81048316784282,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,traditional_ppo,3,61.439439369503724,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,33,0.0,a2c_pointer,2,69.3369209847328,0.2,0.1,0.2,0.05,0.15,0.2,0.1
arithmetic,33,0.0,a2c_pointer,2,72.61812279073462,0.2,0.1,0.2,0.05,0.15,0.2,0.1
geometric,34,1.0,full,1,73.71700861303064,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,1.0,full,1,77.07795702608387,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,traditional_ppo,3,0.0,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,traditional_ppo,3,54.59859548340334,0.2,0.1,0.2,0.1,0.05,0.15,0.2
geometric,34,0.0,a2c_pointer,2,72.37080334863629,0.2,0.1,0.2,0.1,0.05,0.15,0.2
arithmetic,34,0.0,a2c_pointer,2,75.3510838401802,0.2,0.1,0.2,0.1,0.05,0.15,0.2
