environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
13849,2352.0,,traditional_ppo,,,seed,0.252817932728647,44
14713,2500.0,,traditional_ppo,,,seed,0.2592037509448224,44
15707,2660.0,,traditional_ppo,,,seed,0.26251299130763417,44
16709,2820.0,,traditional_ppo,,,seed,0.2577676209372638,44
17678,2980.0,,traditional_ppo,,,seed,0.25744756235827654,44
17796,3000.0,,traditional_ppo,,,seed,0.2594883786848072,44
72,16.0,,traditional_ppo,,,seed,0.25876913265306123,45
797,160.0,,traditional_ppo,,,seed,0.2635889077853364,45
1286,250.0,,traditional_ppo,,,seed,0.26657927059712766,45
1611,314.0,,traditional_ppo,,,seed,0.26588128306878306,45
2553,474.0,,traditional_ppo,,,seed,0.2764443972033258,45
2695,500.0,,traditional_ppo,,,seed,0.2774435468631898,45
3411,628.0,,traditional_ppo,,,seed,0.2807799508692368,45
4344,788.0,,traditional_ppo,,,seed,0.2709124622071051,45
5316,948.0,,traditional_ppo,,,seed,0.2739937641723356,45
5623,1000.0,,traditional_ppo,,,seed,0.2684275793650794,45
6214,1096.0,,traditional_ppo,,,seed,0.2683118386243387,45
7190,1256.0,,traditional_ppo,,,seed,0.27356977513227526,45
8201,1416.0,,traditional_ppo,,,seed,0.2737776360544218,45
8706,1500.0,,traditional_ppo,,,seed,0.29029667422524574,45
9074,1564.0,,traditional_ppo,,,seed,0.28530328798185944,45
10043,1724.0,,traditional_ppo,,,seed,0.27603458049886626,45
11032,1884.0,,traditional_ppo,,,seed,0.2706585411942554,45
11723,2000.0,,traditional_ppo,,,seed,0.28187830687830695,45
11924,2032.0,,traditional_ppo,,,seed,0.27895880574452,45
12919,2192.0,,traditional_ppo,,,seed,0.2779206821617536,45
13904,2352.0,,traditional_ppo,,,seed,0.27872141912320486,45
14773,2500.0,,traditional_ppo,,,seed,0.2768801965230537,45
15746,2660.0,,traditional_ppo,,,seed,0.2693948412698413,45
16769,2820.0,,traditional_ppo,,,seed,0.276379440665155,45
17741,2980.0,,traditional_ppo,,,seed,0.27142266628873774,45
17864,3000.0,,traditional_ppo,,,seed,0.27050500755857904,45
79,16.0,,traditional_ppo,,,seed,0.24448459939531364,46
769,160.0,,traditional_ppo,,,seed,0.26218230347694643,46
1262,250.0,,traditional_ppo,,,seed,0.26477702191987906,46
1617,314.0,,traditional_ppo,,,seed,0.2591706821617536,46
2517,474.0,,traditional_ppo,,,seed,0.26780872071050654,46
2646,500.0,,traditional_ppo,,,seed,0.26834845049130757,46
3389,628.0,,traditional_ppo,,,seed,0.2729343820861678,46
4329,788.0,,traditional_ppo,,,seed,0.2660111961451247,46
5293,948.0,,traditional_ppo,,,seed,0.26605725623582777,46
5591,1000.0,,traditional_ppo,,,seed,0.26858347505668945,46
6207,1096.0,,traditional_ppo,,,seed,0.27128802910052907,46
7169,1256.0,,traditional_ppo,,,seed,0.2625259826152684,46
8115,1416.0,,traditional_ppo,,,seed,0.2526939247921391,46
8643,1500.0,,traditional_ppo,,,seed,0.2657454648526077,46
